Sample_ID,date,pH,IC_Ca,IC_Mg,Total_Ca,Total_Mg,Ca_Diff,RPD,Unfiltered_IC_Ca,Unfiltered_IC_Mg
2015502,6/3/2020,6.41,49.13538012,8.163412229,27.09716,3.905,-57.8184069,-11.92819306,43.6042963,5.939365782
1924608,9/3/2019,5.45,12.67833333,4.598872922,13.8729,3.04464,8.998200962,1.058475959,12.81324444,3.118348083
1923501,8/23/2019,5.65,32.73230994,7.268427726,41.6188,6.74758,23.90412212,-0.115069584,32.69466667,6.61420354
2016302,6/11/2020,5.84,50.75979532,22.54099746,36.478867,17.527258,-32.73990669,-6.559375833,47.536,19.0179941
1821403,8/2/2018,4.46,20.00730994,4.373950409,12.9747,3.70294,-42.64512656,-46.08133973,12.51414815,3.242389381
1924201,8/30/2019,6.25,68.12851015,11.23030431,56.14295006,11.47506634,-19.28932044,3.997798097,70.9077037,10.64219764
1824202,8/30/2018,5.09,22.03004209,4.537531699,20.9591,4.69039,-4.982384079,7.631352868,23.77792593,4.761238938
1821902,8/7/2018,5.35,105.0628677,22.2606368,124.607,26.8258,17.0193265,16.92718616,124.4914074,25.50162242
1818702,7/6/2018,,24.03062717,8.814652015,17.9347664,7.6253,-29.05184607,4.221534253,25.06696296,10.22995575
2015904,6/7/2020,6.3579998,27.83020371,8.255846717,23.604,7.900,-16.43355894,35.97375611,40.03748148,10.91474926
